country,export,year,code
United States,34.83,2017,USA
United Arab Emirates,20.78,2017,ARE
Hong Kong,10.78,2017,HKG
China,9.1,2017,CHN
Singapore,7.52,2017,SGP
United Kingdom,6.69,2017,GBR
Germany,6.24,2017,DEU
Vietnam,6.08,2017,VNM
Bangladesh,5.81,2017,BGD
Belgium,4.45,2017,BEL
Nepal,4.35,2017,NPL
Italy,4.14,2017,ITA
Netherlands,3.95,2017,NLD
Malaysia,3.93,2017,MYS
Saudi Arabia,3.78,2017,SAU
Turkey,3.65,2017,TUR
France,3.47,2017,FRA
Japan,3.3,2017,JPN
Sri Lanka,3.15,2017,LKA
South Africa,2.95,2017,ZAF
Australia,2.94,2017,AUS
Spain,2.81,2017,ESP
Mexico,2.8,2017,MEX
Indonesia,2.75,2017,IDN
Thailand,2.59,2017,THA
Israel,2.35,2017,ISR
Brazil,2.27,2017,BRA
Iran,1.98,2017,IRN
Oman,1.91,2017,OMN
Egypt,1.79,2017,EGY
Canada,1.77,2017,CAN
Nigeria,1.57,2017,NGA
Russia,1.53,2017,RUS
Kenya,1.34,2017,KEN
Philippines,1.2,2017,PHL
Pakistan,1.15,2017,PAK
Poland,1.12,2017,POL
Tanzania,1.01,2017,TZA
Kuwait,0.99214,2017,KWT
Qatar,0.9771,2017,QAT
Iraq,0.9668300000000001,2017,IRQ
Mauritius,0.7080700000000001,2017,MUS
Colombia,0.7044600000000001,2017,COL
Mozambique,0.6898500000000001,2017,MOZ
Switzerland,0.67344,2017,CHE
Sudan,0.63981,2017,SDN
Sweden,0.56931,2017,SWE
Denmark,0.5658500000000001,2017,DNK
Chile,0.56248,2017,CHL
Peru,0.55668,2017,PER
Algeria,0.55279,2017,DZA
Ethiopia,0.5459299999999999,2017,ETH
Portugal,0.53483,2017,PRT
Senegal,0.53201,2017,SEN
Argentina,0.5199900000000001,2017,ARG
Afghanistan,0.50602,2017,AFG
Ghana,0.49036,2017,GHA
Bahrain,0.39601,2017,BHR
Uganda,0.38462999999999997,2017,UGA
Ireland,0.38348000000000004,2017,IRL
Benin,0.3795,2017,BEN
Yemen,0.37,2017,YEM
Bhutan,0.36805,2017,BTN
Somalia,0.35079000000000005,2017,SOM
Togo,0.34741000000000005,2017,TGO
Jordan,0.34132999999999997,2017,JOR
Austria,0.33102,2017,AUT
Morocco,0.31215,2017,MAR
Czech Republic,0.29951,2017,CZE
Hungary,0.29491,2017,HUN
Greece,0.28799,2017,GRC
Norway,0.27558,2017,NOR
Romania,0.27364,2017,ROU
Guinea,0.26317,2017,GIN
New Zealand,0.25523,2017,NZL
Ukraine,0.24165,2017,UKR
Guatemala,0.21674000000000002,2017,GTM
Finland,0.20859,2017,FIN
Ecuador,0.20675,2017,ECU
Zambia,0.20373,2017,ZMB
Liberia,0.20266,2017,LBR
Slovenia,0.20199,2017,SVN
Djibouti,0.19638,2017,DJI
Tunisia,0.19369,2017,TUN
Lebanon,0.18683000000000002,2017,LBN
Angola,0.18051,2017,AGO
Panama,0.17839,2017,PAN
Malawi,0.17051,2017,MWI
Gibraltar,0.15616999999999998,2017,GIB
Maldives,0.15234999999999999,2017,MDV
Cameroon,0.15206999999999998,2017,CMR
Malta,0.15197999999999998,2017,MLT
Madagascar,0.14264,2017,MDG
Dominican Republic,0.14224,2017,DOM
Croatia,0.13,2017,HRV
Zimbabwe,0.12886,2017,ZWE
Bulgaria,0.12846000000000002,2017,BGR
Paraguay,0.12129000000000001,2017,PRY
Uruguay,0.11761,2017,URY
Honduras,0.11092,2017,HND
