2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
87.0,99.0,96.0,100.0,100.0,90.0,94.0,91.0,93.0,93.0
78.0,96.0,92.0,91.0,85.0,87.0,92.0,90.0,90.0,79.0
70.0,71.0,71.0,61.0,76.0,87.0,78.0,88.0,78.0,76.0
67.0,63.0,62.0,58.0,66.0,70.0,77.0,64.0,72.0,73.0
65.0,62.0,58.0,56.0,65.0,63.0,76.0,62.0,67.0,61.0
62.0,58.0,58.0,55.0,57.0,59.0,60.0,60.0,64.0,60.0
58.0,56.0,58.0,54.0,56.0,59.0,55.0,52.0,63.0,58.0
55.0,54.0,49.0,52.0,53.0,49.0,51.0,48.0,56.0,55.0
51.0,47.0,47.0,50.0,50.0,49.0,50.0,48.0,55.0,51.0
47.0,47.0,47.0,49.0,47.0,48.0,49.0,45.0,54.0,51.0
46.0,44.0,46.0,47.0,46.0,45.0,49.0,44.0,46.0,49.0
46.0,43.0,46.0,47.0,45.0,43.0,46.0,44.0,46.0,49.0
44.0,42.0,45.0,47.0,44.0,42.0,41.0,43.0,45.0,49.0
43.0,41.0,45.0,46.0,43.0,42.0,37.0,43.0,39.0,47.0
43.0,40.0,45.0,43.0,42.0,41.0,37.0,42.0,39.0,46.0
43.0,39.0,44.0,43.0,39.0,40.0,35.0,39.0,36.0,43.0
42.0,37.0,44.0,42.0,37.0,40.0,35.0,39.0,35.0,43.0
42.0,36.0,43.0,41.0,36.0,39.0,35.0,38.0,31.0,29.0
35.0,36.0,35.0,37.0,35.0,36.0,32.0,36.0,22.0,22.0
33.0,34.0,30.0,27.0,34.0,25.0,20.0,32.0,20.0,20.0
