2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
80.0,78.0,76.0,82.0,83.0,89.0,83.0,96.0,95.0,93.0
77.0,72.0,68.0,79.0,71.0,80.0,75.0,65.0,87.0,80.0
71.0,71.0,64.0,74.0,67.0,71.0,71.0,65.0,78.0,78.0
64.0,70.0,60.0,64.0,64.0,69.0,69.0,63.0,67.0,77.0
64.0,69.0,58.0,61.0,63.0,61.0,69.0,60.0,62.0,58.0
64.0,64.0,56.0,60.0,62.0,60.0,63.0,58.0,59.0,55.0
61.0,58.0,51.0,57.0,55.0,53.0,56.0,54.0,51.0,55.0
55.0,55.0,50.0,56.0,53.0,49.0,56.0,52.0,50.0,54.0
50.0,53.0,49.0,50.0,52.0,49.0,50.0,50.0,50.0,52.0
45.0,52.0,49.0,48.0,51.0,49.0,49.0,50.0,50.0,51.0
45.0,48.0,49.0,45.0,48.0,48.0,48.0,50.0,46.0,48.0
44.0,48.0,48.0,43.0,47.0,46.0,47.0,49.0,46.0,47.0
44.0,47.0,48.0,42.0,46.0,46.0,46.0,48.0,44.0,45.0
42.0,47.0,47.0,42.0,43.0,44.0,45.0,48.0,43.0,41.0
42.0,44.0,46.0,41.0,41.0,42.0,44.0,46.0,39.0,38.0
40.0,41.0,46.0,41.0,40.0,42.0,43.0,44.0,37.0,38.0
40.0,40.0,46.0,39.0,40.0,42.0,42.0,40.0,37.0,38.0
37.0,32.0,44.0,38.0,38.0,40.0,37.0,39.0,36.0,37.0
37.0,31.0,35.0,36.0,37.0,29.0,30.0,37.0,35.0,33.0
26.0,23.0,20.0,34.0,29.0,23.0,29.0,18.0,34.0,26.0
