2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
90.0,86.0,80.0,89.0,89.0,86.0,87.0,81.0,93.0,100.0
86.0,85.0,71.0,89.0,78.0,84.0,79.0,71.0,86.0,81.0
83.0,75.0,71.0,70.0,75.0,82.0,75.0,70.0,78.0,77.0
72.0,70.0,68.0,69.0,73.0,79.0,70.0,66.0,76.0,75.0
63.0,67.0,62.0,65.0,72.0,72.0,64.0,66.0,75.0,70.0
62.0,64.0,58.0,64.0,63.0,69.0,62.0,63.0,69.0,63.0
53.0,63.0,54.0,56.0,61.0,64.0,60.0,62.0,61.0,54.0
51.0,61.0,49.0,52.0,49.0,56.0,56.0,60.0,46.0,49.0
51.0,50.0,48.0,52.0,46.0,50.0,54.0,51.0,46.0,47.0
50.0,50.0,47.0,47.0,46.0,49.0,48.0,50.0,45.0,44.0
45.0,47.0,47.0,47.0,44.0,45.0,47.0,47.0,45.0,44.0
45.0,46.0,46.0,47.0,43.0,42.0,47.0,47.0,44.0,44.0
41.0,44.0,46.0,45.0,42.0,40.0,44.0,45.0,44.0,42.0
41.0,39.0,46.0,45.0,41.0,38.0,41.0,43.0,41.0,41.0
41.0,38.0,43.0,43.0,41.0,38.0,39.0,42.0,41.0,40.0
36.0,36.0,42.0,38.0,41.0,37.0,38.0,42.0,40.0,37.0
35.0,35.0,40.0,37.0,39.0,36.0,38.0,39.0,40.0,36.0
34.0,30.0,39.0,36.0,36.0,33.0,35.0,37.0,34.0,33.0
32.0,30.0,39.0,31.0,28.0,32.0,33.0,34.0,28.0,33.0
32.0,19.0,33.0,25.0,25.0,30.0,30.0,17.0,24.0,31.0
