clubr,age,mpr,gsr,astr,mpm,gsm,astm
"Manchester United",19,40,6,7,25,8,3
"Manchester United",20,50,9,8,36,17,3
"Manchester United",21,47,12,8,40,16,13
"Manchester United",22,53,23,15,51,38,17
"Manchester United",23,49,42,7,53,47,11
"Manchester United",24,53,26,9,55,53,23
"Real Madrid",25,35,33,7,60,73,29
"Real Madrid",26,54,53,15,50,60,15
"Real Madrid",27,55,60,15,46,41,14
"Real Madrid",28,55,55,12,57,58,27
"Real Madrid",29,47,51,14,49,41,23
"Real Madrid",30,54,61,21,52,54,16
"Real Madrid",31,48,51,15,54,45,18
