age,club,country,player,year
28,Nacional,Uruguay,José Leandro Andrade,1930
28,Peñarol,Uruguay,Peregrino Anselmo,1930
25,Rampla Juniors,Uruguay,Enrique Ballestrero,1930
24,Miramar Misiones,Uruguay,Juan Carlos Calvo,1930
26,Peñarol,Uruguay,Miguel Capuccini,1930
25,Nacional,Uruguay,Héctor Castro,1930
29,Nacional,Uruguay,Pedro Cea,1930
22,Bella Vista,Uruguay,Pablo Dorado,1930
30,Peñarol,Uruguay,Lorenzo Fernández,1930
23,Peñarol,Uruguay,Álvaro Gestido,1930
27,Racing Club,Uruguay,Santos Iriarte,1930
22,Olimpia,Uruguay,Ernesto Mascheroni,1930
25,Bella Vista,Uruguay,Ángel Melogno,1930
29,Bella Vista,Uruguay,José Nasazzi (c),1930
25,Nacional,Uruguay,Pedro Petrone,1930
25,Nacional,Uruguay,Conduelo Píriz,1930
25,Nacional,Uruguay,Emilio Recoba,1930
24,Peñarol,Uruguay,Carlos Riolfo,1930
25,Nacional,Uruguay,Zoilo Saldombide,1930
31,Nacional,Uruguay,Héctor Scarone,1930
30,Montevideo Wanderers,Uruguay,Domingo Tejera,1930
30,Nacional,Uruguay,Santos Urdinarán,1930
30,Ambrosiana-Inter,Italy,Luigi Allemandi,1934
24,Milan,Italy,Pietro Arcari,1934
29,Juventus,Italy,Luigi Bertolini,1934
20,Juventus,Italy,Felice Borel,1934
32,Juventus,Italy,Umberto Caligaris,1934
29,Ambrosiana-Inter,Italy,Armando Castellazzi,1934
28,Napoli,Italy,Giuseppe Cavanna,1934
31,Juventus,Italy,Gianpiero Combi (c),1934
25,Ambrosiana-Inter,Italy,Attilio Demaria,1934
26,Juventus,Italy,Giovanni Ferrari,1934
30,Roma,Italy,Attilio Ferraris,1934
23,Roma,Italy,Enrique Guaita,1934
28,Lazio,Italy,Anfilogino Guarisi,1934
26,Roma,Italy,Guido Masetti,1934
23,Ambrosiana-Inter,Italy,Giuseppe Meazza,1934
33,Juventus,Italy,Luis Monti,1934
27,Bologna,Italy,Eraldo Monzeglio,1934
32,Juventus,Italy,Raimundo Orsi,1934
24,Fiorentina,Italy,Mario Pizziolo,1934
32,Juventus,Italy,Virginio Rosetta,1934
28,Bologna,Italy,Angelo Schiavio,1934
28,Juventus,Italy,Mario Varglien,1934
25,Bologna,Italy,Michele Andreolo,1938
22,Pisa,Italy,Sergio Bertoni,1938
23,Bologna,Italy,Amedeo Biavati,1938
28,Bologna,Italy,Carlo Ceresoli,1938
22,Triestina,Italy,Bruno Chizzo,1938
24,Triestina,Italy,Gino Colaussi,1938
27,Roma,Italy,Aldo Donati,1938
30,Ambrosiana-Inter,Italy,Giovanni Ferrari,1938
26,Ambrosiana-Inter,Italy,Pietro Ferraris,1938
26,Juventus,Italy,Alfredo Foni,1938
26,Genoa,Italy,Mario Genta,1938
22,Ambrosiana-Inter,Italy,Ugo Locatelli,1938
30,Roma,Italy,Guido Masetti,1938
27,Ambrosiana-Inter,Italy,Giuseppe Meazza (c),1938
31,Roma,Italy,Eraldo Monzeglio,1938
27,Lucchese,Italy,Aldo Olivieri,1938
23,Ambrosiana-Inter,Italy,Renato Olmi,1938
27,Triestina,Italy,Pietro Pasinati,1938
26,Genoa,Italy,Mario Perazzolo,1938
24,Lazio,Italy,Silvio Piola,1938
22,Juventus,Italy,Pietro Rava,1938
31,Roma,Italy,Pietro Serantoni,1938
24,Peñarol,Uruguay,Julio César Britos,1950
27,Danubio,Uruguay,Juan Burgueño,1950
30,Nacional,Uruguay,Schubert Gambetta,1950
23,Peñarol,Uruguay,Alcides Ghiggia,1950
25,Peñarol,Uruguay,Juan Carlos González,1950
24,Cerro,Uruguay,Matías González,1950
22,Rampla Juniors,Uruguay,William Martínez,1950
32,Peñarol,Uruguay,Roque Máspoli,1950
22,Peñarol,Uruguay,Oscar Míguez,1950
19,Cerro,Uruguay,Rubén Morán,1950
22,Peñarol,Uruguay,Washington Ortuño,1950
32,Nacional,Uruguay,Aníbal Paz,1950
24,River Plate,Uruguay,Julio Pérez,1950
23,Nacional,Uruguay,Rodolfo Pini,1950
22,Central,Uruguay,Luis Rijo,1950
23,Central,Uruguay,Víctor Rodríguez Andrade,1950
22,Danubio,Uruguay,Carlos Romero,1950
24,Peñarol,Uruguay,Juan Alberto Schiaffino,1950
28,Nacional,Uruguay,Eusebio Tejera,1950
32,Peñarol,Uruguay,Obdulio Varela (Captain),1950
28,Peñarol,Uruguay,Ernesto Vidal,1950
24,Cerro,Uruguay,Héctor Vilches,1950
35,Fortuna Düsseldorf,West Germany,Toni Turek,1954
28,Hamburger SV,West Germany,Fritz Laband,1954
30,1. FC Kaiserslautern,West Germany,Werner Kohlmeyer,1954
26,Bayern Munich,West Germany,Hans Bauer,1954
23,SpVgg Fürth,West Germany,Herbert Erhardt,1954
22,1. FC Kaiserslautern,West Germany,Horst Eckel,1954
26,Hamburger SV,West Germany,Josef Posipal,1954
25,SpVgg Fürth,West Germany,Karl Mai,1954
34,1. FC Köln,West Germany,Paul Mebus,1954
27,1. FC Kaiserslautern,West Germany,Werner Liebrich,1954
31,KSV Hessen Kassel,West Germany,Karl-Heinz Metzner,1954
24,Rot-Weiss Essen,West Germany,Helmut Rahn,1954
29,1. FC Nürnberg,West Germany,Max Morlock,1954
27,FC Schalke 04,West Germany,Bernhard Klodt,1954
30,1. FC Kaiserslautern,West Germany,Ottmar Walter,1954
33,1. FC Kaiserslautern,West Germany,Fritz Walter (captain),1954
31,FSV Frankfurt,West Germany,Richard Herrmann,1954
20,BC Augsburg,West Germany,Ulrich Biesinger,1954
27,Eintracht Frankfurt,West Germany,Alfred Pfaff,1954
